column,role,reason,feature_group
Consumer_Total_MomentaryFuel,TARGET,Ground-truth measured total instantaneous fuel consumption (sum of all boiler and generator-engine fuel meters). This is y.,
index,IDENTIFIER,"Sequential row identifier (step size is uniformly 1). Used only to preserve chronological order for the train/test split; carries no reusable physical information for a future vessel or voyage, so it is excluded from X.",
MISSING_FIELD_COUNT,IDENTIFIER/DIAGNOSTIC,"Count of originally-missing fields for that record before cleaning (14 distinct values, mode=0). It is a data-quality artifact of the cleaning pipeline, not a physical driver of fuel consumption, and would not exist in the same form for a new scenario. Excluded from X; retained as a QA note.",
Consumer_Boiler1_MomentaryFuel,LEAKAGE,"Direct additive component of the target (Consumer_Total_MomentaryFuel = sum of these 7 meters, verified numerically). Including any of them would let the model trivially reconstruct the label instead of learning the operating-condition -> fuel relationship.",
Consumer_Boiler2_MomentaryFuel,LEAKAGE,"Direct additive component of the target (Consumer_Total_MomentaryFuel = sum of these 7 meters, verified numerically). Including any of them would let the model trivially reconstruct the label instead of learning the operating-condition -> fuel relationship.",
Consumer_GeneratorEngine1_MomentaryFuel,LEAKAGE,"Direct additive component of the target (Consumer_Total_MomentaryFuel = sum of these 7 meters, verified numerically). Including any of them would let the model trivially reconstruct the label instead of learning the operating-condition -> fuel relationship.",
Consumer_GeneratorEngine2_MomentaryFuel,LEAKAGE,"Direct additive component of the target (Consumer_Total_MomentaryFuel = sum of these 7 meters, verified numerically). Including any of them would let the model trivially reconstruct the label instead of learning the operating-condition -> fuel relationship.",
Consumer_GeneratorEngine3_MomentaryFuel,LEAKAGE,"Direct additive component of the target (Consumer_Total_MomentaryFuel = sum of these 7 meters, verified numerically). Including any of them would let the model trivially reconstruct the label instead of learning the operating-condition -> fuel relationship.",
Consumer_GeneratorEngine4_MomentaryFuel,LEAKAGE,"Direct additive component of the target (Consumer_Total_MomentaryFuel = sum of these 7 meters, verified numerically). Including any of them would let the model trivially reconstruct the label instead of learning the operating-condition -> fuel relationship.",
Consumer_GeneratorEngine5_MomentaryFuel,LEAKAGE,"Direct additive component of the target (Consumer_Total_MomentaryFuel = sum of these 7 meters, verified numerically). Including any of them would let the model trivially reconstruct the label instead of learning the operating-condition -> fuel relationship.",
Consumer_Total_ShaftPower,LEAKAGE-RISK (excluded),"Instantaneous shaft power/RPM of the same fuel-burning generator engines being summed into the target. Correlation with target is 0.90-0.96 (near one-to-one via the engine SFOC curve). It is simultaneous internal engine telemetry, not a quantity known ahead of a planning/optimization decision (the intended use case is predicting fuel from planned speed and forecast weather before the voyage is run). Excluded from the core predictor set.",
Consumer_GeneratorEngine1_ShaftPower,LEAKAGE-RISK (excluded),"Instantaneous shaft power/RPM of the same fuel-burning generator engines being summed into the target. Correlation with target is 0.90-0.96 (near one-to-one via the engine SFOC curve). It is simultaneous internal engine telemetry, not a quantity known ahead of a planning/optimization decision (the intended use case is predicting fuel from planned speed and forecast weather before the voyage is run). Excluded from the core predictor set.",
Consumer_GeneratorEngine2_ShaftPower,LEAKAGE-RISK (excluded),"Instantaneous shaft power/RPM of the same fuel-burning generator engines being summed into the target. Correlation with target is 0.90-0.96 (near one-to-one via the engine SFOC curve). It is simultaneous internal engine telemetry, not a quantity known ahead of a planning/optimization decision (the intended use case is predicting fuel from planned speed and forecast weather before the voyage is run). Excluded from the core predictor set.",
Consumer_GeneratorEngine3_ShaftPower,LEAKAGE-RISK (excluded),"Instantaneous shaft power/RPM of the same fuel-burning generator engines being summed into the target. Correlation with target is 0.90-0.96 (near one-to-one via the engine SFOC curve). It is simultaneous internal engine telemetry, not a quantity known ahead of a planning/optimization decision (the intended use case is predicting fuel from planned speed and forecast weather before the voyage is run). Excluded from the core predictor set.",
Consumer_GeneratorEngine4_ShaftPower,LEAKAGE-RISK (excluded),"Instantaneous shaft power/RPM of the same fuel-burning generator engines being summed into the target. Correlation with target is 0.90-0.96 (near one-to-one via the engine SFOC curve). It is simultaneous internal engine telemetry, not a quantity known ahead of a planning/optimization decision (the intended use case is predicting fuel from planned speed and forecast weather before the voyage is run). Excluded from the core predictor set.",
Consumer_GeneratorEngine5_ShaftPower,LEAKAGE-RISK (excluded),"Instantaneous shaft power/RPM of the same fuel-burning generator engines being summed into the target. Correlation with target is 0.90-0.96 (near one-to-one via the engine SFOC curve). It is simultaneous internal engine telemetry, not a quantity known ahead of a planning/optimization decision (the intended use case is predicting fuel from planned speed and forecast weather before the voyage is run). Excluded from the core predictor set.",
Consumer_GeneratorEngine1_RotationSpeed,LEAKAGE-RISK (excluded),"Instantaneous shaft power/RPM of the same fuel-burning generator engines being summed into the target. Correlation with target is 0.90-0.96 (near one-to-one via the engine SFOC curve). It is simultaneous internal engine telemetry, not a quantity known ahead of a planning/optimization decision (the intended use case is predicting fuel from planned speed and forecast weather before the voyage is run). Excluded from the core predictor set.",
Consumer_GeneratorEngine2_RotationSpeed,LEAKAGE-RISK (excluded),"Instantaneous shaft power/RPM of the same fuel-burning generator engines being summed into the target. Correlation with target is 0.90-0.96 (near one-to-one via the engine SFOC curve). It is simultaneous internal engine telemetry, not a quantity known ahead of a planning/optimization decision (the intended use case is predicting fuel from planned speed and forecast weather before the voyage is run). Excluded from the core predictor set.",
Consumer_GeneratorEngine3_RotationSpeed,LEAKAGE-RISK (excluded),"Instantaneous shaft power/RPM of the same fuel-burning generator engines being summed into the target. Correlation with target is 0.90-0.96 (near one-to-one via the engine SFOC curve). It is simultaneous internal engine telemetry, not a quantity known ahead of a planning/optimization decision (the intended use case is predicting fuel from planned speed and forecast weather before the voyage is run). Excluded from the core predictor set.",
Consumer_GeneratorEngine4_RotationSpeed,LEAKAGE-RISK (excluded),"Instantaneous shaft power/RPM of the same fuel-burning generator engines being summed into the target. Correlation with target is 0.90-0.96 (near one-to-one via the engine SFOC curve). It is simultaneous internal engine telemetry, not a quantity known ahead of a planning/optimization decision (the intended use case is predicting fuel from planned speed and forecast weather before the voyage is run). Excluded from the core predictor set.",
Consumer_GeneratorEngine5_RotationSpeed,LEAKAGE-RISK (excluded),"Instantaneous shaft power/RPM of the same fuel-burning generator engines being summed into the target. Correlation with target is 0.90-0.96 (near one-to-one via the engine SFOC curve). It is simultaneous internal engine telemetry, not a quantity known ahead of a planning/optimization decision (the intended use case is predicting fuel from planned speed and forecast weather before the voyage is run). Excluded from the core predictor set.",
Propeller_Port_ShaftPower,LEAKAGE-RISK (excluded),"Propulsion shaft power/torque/RPM is the mechanical consequence of the speed+environment decision, not an a-priori input; on this diesel-electric plant it draws from the same generators as the fuel meters (corr with target ~0.90-0.93). Available only after the ship is already operating at that condition, so it cannot be supplied by an optimizer proposing a candidate speed/route. Kept as a documented ""physics-enriched"" candidate set for a future, clearly-labelled experiment, but excluded from this core model.",
Propeller_Starboard_ShaftPower,LEAKAGE-RISK (excluded),"Propulsion shaft power/torque/RPM is the mechanical consequence of the speed+environment decision, not an a-priori input; on this diesel-electric plant it draws from the same generators as the fuel meters (corr with target ~0.90-0.93). Available only after the ship is already operating at that condition, so it cannot be supplied by an optimizer proposing a candidate speed/route. Kept as a documented ""physics-enriched"" candidate set for a future, clearly-labelled experiment, but excluded from this core model.",
Propeller_Total_ShaftPower,LEAKAGE-RISK (excluded),"Propulsion shaft power/torque/RPM is the mechanical consequence of the speed+environment decision, not an a-priori input; on this diesel-electric plant it draws from the same generators as the fuel meters (corr with target ~0.90-0.93). Available only after the ship is already operating at that condition, so it cannot be supplied by an optimizer proposing a candidate speed/route. Kept as a documented ""physics-enriched"" candidate set for a future, clearly-labelled experiment, but excluded from this core model.",
Propeller_Port_ShaftTorque,LEAKAGE-RISK (excluded),"Propulsion shaft power/torque/RPM is the mechanical consequence of the speed+environment decision, not an a-priori input; on this diesel-electric plant it draws from the same generators as the fuel meters (corr with target ~0.90-0.93). Available only after the ship is already operating at that condition, so it cannot be supplied by an optimizer proposing a candidate speed/route. Kept as a documented ""physics-enriched"" candidate set for a future, clearly-labelled experiment, but excluded from this core model.",
Propeller_Starboard_ShaftTorque,LEAKAGE-RISK (excluded),"Propulsion shaft power/torque/RPM is the mechanical consequence of the speed+environment decision, not an a-priori input; on this diesel-electric plant it draws from the same generators as the fuel meters (corr with target ~0.90-0.93). Available only after the ship is already operating at that condition, so it cannot be supplied by an optimizer proposing a candidate speed/route. Kept as a documented ""physics-enriched"" candidate set for a future, clearly-labelled experiment, but excluded from this core model.",
Propeller_Port_RotationSpeed,LEAKAGE-RISK (excluded),"Propulsion shaft power/torque/RPM is the mechanical consequence of the speed+environment decision, not an a-priori input; on this diesel-electric plant it draws from the same generators as the fuel meters (corr with target ~0.90-0.93). Available only after the ship is already operating at that condition, so it cannot be supplied by an optimizer proposing a candidate speed/route. Kept as a documented ""physics-enriched"" candidate set for a future, clearly-labelled experiment, but excluded from this core model.",
Propeller_Starboard_RotationSpeed,LEAKAGE-RISK (excluded),"Propulsion shaft power/torque/RPM is the mechanical consequence of the speed+environment decision, not an a-priori input; on this diesel-electric plant it draws from the same generators as the fuel meters (corr with target ~0.90-0.93). Available only after the ship is already operating at that condition, so it cannot be supplied by an optimizer proposing a candidate speed/route. Kept as a documented ""physics-enriched"" candidate set for a future, clearly-labelled experiment, but excluded from this core model.",
Consumer_Boiler2_FuelType_DM,REDUNDANT (dropped),Identical to Consumer_Boiler1_FuelType_DM in 100% of rows (both boilers always switch fuel together) -> perfectly collinear duplicate.,
Consumer_Boiler2_FuelType_RM 380,REDUNDANT (dropped),Identical to Consumer_Boiler1_FuelType_RM 380 in 100% of rows -> perfectly collinear duplicate.,
Ship_SpeedOverGround,KEEP,Vessel speed over ground (kn). Core operating decision variable; primary physical driver of resistance and power demand.,A: core operating/route
Ship_SpeedThroughWater,KEEP,Vessel speed through water (kn); differs from SOG by current drift. Kept alongside SOG to let the model separate current effects from propulsion effects.,A: core operating/route
Ship_Heading,KEEP,"Compass heading (deg); combined with wind/wave/current direction gives relative heading into weather, a known driver of added resistance.",A: core operating/route
Ship_Bearing,KEEP,"Course-made-good bearing (deg); route/heading context, cheap to compute and known in advance for a planned route.",A: core operating/route
Environment_SeaFloorDepth,KEEP,Water depth under keel (m); shallow water increases hydrodynamic resistance (squat effect) and is known from route/chart data.,A: core operating/route
