derived_output_file,derived_column,formula,inputs,notes
route_derived.csv,distance_nm,"haversine(lat1, lon1, lat2, lon2) converted km->nm (nm = km / 1.852)","fig2_port_coordinates.csv: Latitude, Longitude (REAL)","Great-circle distance, not actual sailed track distance."
route_derived.csv,voyage_time_hours,voyage_time_hours = distance_nm / speed_kn_assumed,"route_derived.csv:distance_nm (DERIVED); ship_performance.csv: fleet-wide mean Speed_Over_Ground_knots (REAL, aggregated)","speed is a fleet-wide proxy, not vessel/route-specific -> voyage time is an approximation."
fleet_parameters.csv,speed_mean_kn / speed_median_kn / speed_std_kn (per Ship_Type),groupby(Ship_Type)[Speed_Over_Ground_knots].agg(mean/median/std),"ship_performance.csv: Ship_Type, Speed_Over_Ground_knots (REAL)","Fleet-segment level, not per-vessel (no vessel ID in source)."
fleet_parameters.csv,Ship_SpeedOverGround_mean_kn / _median_kn / _std_kn (Poseidon),mean/median/std over all timesteps,"CPS_Poseidon_model_ready.csv: Ship_SpeedOverGround (REAL, per-timestep)","Single real vessel, time-series aggregated to summary stats."
fleet_parameters.csv,load_ratio_pct_mean (per Ship_Type),groupby(Ship_Type)[Average_Load_Percentage].mean() -- NOT re-derived from cargo/DWT because DWT is absent from ship_performance.csv,"ship_performance.csv: Average_Load_Percentage (REAL, pre-computed by source)",DWT unavailable; ratio taken as-is per critical rule (never invent the missing side of a ratio).
fleet_parameters.csv,DWT_sum_across_years_thousand_tons (per Category),"sum(Value) where Item=='DWT', grouped by Category","fleet_combined.csv: Item, Category, Value (REAL, aggregate fleet stock)","Aggregate fleet stock statistic, explicitly NOT per-vessel."
fuel_cost_parameters.csv,operational_cost_usd_mean_per_voyage / revenue_usd_mean_per_voyage (per Ship_Type),groupby(Ship_Type)[Operational_Cost_USD / Revenue_per_Voyage_USD].mean(),ship_performance.csv (REAL),Fleet-segment level aggregate.
ghg_parameters.csv,GHG_reference_value_mean / CII_reference_value_mean (per fuel),"mean(column) across all real chart rows, per fuel","fig1_ghg_cii_by_fuel.csv (REAL, literature/report reference chart)","Reference values, not vessel-specific."
ghg_parameters.csv,kgCO2eq_per_MJ_mean (per fuel),groupby(Fuel)[kgCO2eq_per_MJ].mean() across years/panels,"fig5_ghg_pathway_scenarios.csv (REAL, literature reference)",Averaged across years/regulatory panels for a single representative value per fuel.
ghg_parameters.csv,GWP_tCO2_mean (per fuel),mean(GWP_tCO2::<fuel>) across 1405 Monte-Carlo draws,"fig9_fuel_probability_distributions.csv (REAL, literature sensitivity study)","Mean of a real probability distribution, not a single fixed real-world measurement."
port_master_derived.csv,"(none - REAL coordinates, no derivation)",n/a (union of source rows),"world_ports_master.csv, WPI_model_ready.csv, fig2_port_coordinates.csv (all REAL)",Simple union/concatenation with source tagging; no computation performed.
