path,rows,columns,description,classification
CPS_Poseidon_model_ready.csv,105422,Consumer_Boiler1_MomentaryFuel:float64; Consumer_Boiler2_MomentaryFuel:float64; Consumer_GeneratorEngine1_MomentaryFuel:float64; Consumer_GeneratorEngine1_RotationSpeed:float64; Consumer_GeneratorEngine1_ShaftPower:float64; Consumer_GeneratorEngine2_MomentaryFuel:float64; Consumer_GeneratorEngine2_RotationSpeed:float64; Consumer_GeneratorEngine2_ShaftPower:float64; Consumer_GeneratorEngine3_MomentaryFuel:float64; Consumer_GeneratorEngine3_RotationSpeed:float64; Consumer_GeneratorEngine3_ShaftPower:float64; Consumer_GeneratorEngine4_MomentaryFuel:float64; Consumer_GeneratorEngine4_RotationSpeed:float64; Consumer_GeneratorEngine4_ShaftPower:float64; Consumer_GeneratorEngine5_MomentaryFuel:float64; Consumer_GeneratorEngine5_RotationSpeed:float64; Consumer_GeneratorEngine5_ShaftPower:float64; Consumer_Total_MomentaryFuel:float64; Consumer_Total_ShaftPower:float64; Environment_SeaFloorDepth:float64; Propeller_Port_RotationSpeed:float64; Propeller_Port_ShaftPower:float64; Propeller_Port_ShaftTorque:float64; Propeller_Starboard_RotationSpeed:float64; Propeller_Starboard_ShaftPower:float64; Propeller_Starboard_ShaftTorque:float64; Propeller_Total_ShaftPower:float64; Ship_Bearing:float64; Ship_Heading:float64; Ship_SpeedOverGround:float64; Ship_SpeedThroughWater:float64; Weather_DiffuseRadiation:float64; Weather_DirectNormalIrradiance:float64; Weather_DirectRadiation:float64; Weather_OceanCurrentDirection:float64; Weather_OceanCurrentVelocity:float64; Weather_Precipitation:float64; Weather_RelativeHumidity2M:float64; Weather_ShortwaveRadiation:float64; Weather_SunshineDuration:float64; Weather_SurfacePressure:float64; Weather_SwellWaveDirection:float64; Weather_SwellWaveHeight:float64; Weather_SwellWavePeakPeriod:float64; Weather_SwellWavePeriod:float64; Weather_Temperature2M:float64; Weather_WaveDirection:float64; Weather_WaveHeight:float64; Weather_WavePeriod:float64; Weather_WeatherCode:float64; Weather_WindDirection10M:float64; Weather_WindGusts10M:float64; Weather_WindSpeed10M:float64; Weather_WindWaveDirection:float64; Weather_WindWaveHeight:float64; Weather_WindWavePeakPeriod:float64; Weather_WindWavePeriod:float64; index:int64; MISSING_FIELD_COUNT:int64; Consumer_Boiler1_FuelType_DM:int64; Consumer_Boiler1_FuelType_RM 380:int64; Consumer_Boiler2_FuelType_DM:int64; Consumer_Boiler2_FuelType_RM 380:int64; Consumer_GeneratorEngine1_FuelType_DM:int64; Consumer_GeneratorEngine1_FuelType_RM 180:int64; Consumer_GeneratorEngine1_FuelType_RM 380:int64; Consumer_GeneratorEngine2_FuelType_DM:int64; Consumer_GeneratorEngine2_FuelType_RM 180:int64; Consumer_GeneratorEngine2_FuelType_RM 380:int64; Consumer_GeneratorEngine3_FuelType_DM:int64; Consumer_GeneratorEngine3_FuelType_RM 180:int64; Consumer_GeneratorEngine3_FuelType_RM 380:int64; Consumer_GeneratorEngine4_FuelType_DM:int64; Consumer_GeneratorEngine4_FuelType_RM 180:int64; Consumer_GeneratorEngine4_FuelType_RM 380:int64; Consumer_GeneratorEngine5_FuelType_DM:int64; Consumer_GeneratorEngine5_FuelType_RM 180:int64; Consumer_GeneratorEngine5_FuelType_RM 380:int64,"Per-timestep sensor/telemetry stream for a SINGLE real vessel ('Poseidon'): fuel consumption per engine/boiler, shaft power, speed over ground/through water, weather. Time-series, one row per timestamp. Used to train the existing fuel-consumption ML model (not to be retrained here).",vessel
WPI_model_ready.csv,3669,INDEX_NO:int64; REGION_NO:int64; PORT_NAME:str; COUNTRY:str; LATITUDE:float64; LONGITUDE:float64; LAT_DEG:int64; LAT_MIN:int64; LAT_HEMI:str; LONG_DEG:int64; LONG_MIN:int64; LONG_HEMI:str; PUB:str; CHART:str; HARBORSIZE:float64; HARBORTYPE:str; SHELTER:float64; ENTRY_TIDE:float64; ENTRYSWELL:float64; ENTRY_ICE:float64; ENTRYOTHER:float64; OVERHD_LIM:float64; CHAN_DEPTH:float64; ANCH_DEPTH:float64; CARGODEPTH:float64; OIL_DEPTH:float64; TIDE_RANGE:int64; MAX_VESSEL:float64; HOLDGROUND:float64; TURN_BASIN:float64; PORTOFENTR:float64; US_REP:float64; ETAMESSAGE:float64; PILOT_REQD:float64; PILOTAVAIL:float64; LOC_ASSIST:float64; PILOTADVSD:float64; TUGSALVAGE:float64; TUG_ASSIST:float64; PRATIQUE:float64; SSCC_CERT:float64; QUAR_OTHER:float64; COMM_PHONE:float64; COMM_FAX:float64; COMM_RADIO:float64; COMM_VHF:float64; COMM_AIR:float64; COMM_RAIL:float64; CARGOWHARF:float64; CARGO_ANCH:float64; CARGMDMOOR:float64; CARBCHMOOR:float64; CARICEMOOR:float64; MED_FACIL:float64; GARBAGE:float64; DEGAUSS:float64; DRTYBALLST:float64; CRANEFIXED:float64; CRANEMOBIL:float64; CRANEFLOAT:float64; LIFT_100_:float64; LIFT50_100:float64; LIFT_25_49:float64; LIFT_0_24:float64; LONGSHORE:float64; ELECTRICAL:float64; SERV_STEAM:float64; NAV_EQUIP:float64; ELECREPAIR:float64; PROVISIONS:float64; WATER:float64; FUEL_OIL:float64; DIESEL:float64; DECKSUPPLY:float64; ENG_SUPPLY:float64; REPAIRCODE:float64; DRYDOCK:float64; RAILWAY:float64; MISSING_FIELD_COUNT:int64; MISSING_FIELD_PCT:float64; COUNTRY_ID:int64; HARBORTYPE_ID:int64,"NGA World Port Index (WPI) port master list: one row per port, with lat/lon and harbor infrastructure attributes (depth, cranes, fuel availability, pilotage, etc). Static reference table, not a time series.",port
ais_processed_support_files\ais_field_dictionary.csv,17,field_name:str; description:str; unit_or_type:str; valid_domain:str; null_allowed:bool; optimization_use:str,"LOOKUP/SCHEMA table describing AIS field names, units, and valid domains for a planned AIS ingestion pipeline. Contains NO actual AIS position observations.",lookup
ais_processed_support_files\ais_navigation_status_lookup.csv,16,status_code:int64; status_description:str; use_in_optimization:str,LOOKUP/SCHEMA table mapping AIS navigation status codes (0-15) to descriptions and optimization usage flags. Contains NO actual AIS observations.,lookup
ais_processed_support_files\ais_required_fields.csv,17,field_name:str; required_for_prototype:str; reason:str,LOOKUP/SCHEMA table listing which AIS fields are required for the prototype and why. Contains NO actual AIS observations.,lookup
ais_processed_support_files\ais_vessel_type_lookup.csv,23,ais_vessel_type_code:int64; vessel_group_2019:str; classification:str; keep_for_green_fleet_prototype:bool,LOOKUP/SCHEMA table mapping AIS vessel type codes to vessel group / classification labels. Contains NO actual AIS observations.,lookup
green-fleet-optimizer-with-optimization\green-fleet-optimizer\analysis\01_data_audit.csv,78,column:str; dtype:str; n_missing:int64; pct_missing:float64; n_unique:int64; min:float64; max:float64; mean:float64,"Per-column statistics (missing %, unique count, min/max/mean) computed by the existing project on CPS_Poseidon_model_ready.csv. Describes the fuel model's training data, not new source data.",reference
green-fleet-optimizer-with-optimization\green-fleet-optimizer\analysis\02_feature_audit.csv,81,column:str; role:str; reason:str; feature_group:str,"Documents the role (TARGET/FEATURE/IDENTIFIER) assigned to each column of the fuel-model training set. Reference/documentation of the existing model, not raw data.",reference
green-fleet-optimizer-with-optimization\green-fleet-optimizer\analysis\03_eda_summary.csv,35,group:str; feature:str; pearson_r_with_target:float64; spearman_r_with_target:float64,"Pearson/Spearman correlation of each candidate feature with the fuel-consumption target, from the existing model's EDA. Reference only.",reference
green-fleet-optimizer-with-optimization\green-fleet-optimizer\analysis\04_model_comparison_baseline.csv,3,model:str; MAE:float64; RMSE:float64; R2:float64; fit_time_s:float64; inference_time_s_full_test:float64,Baseline ML model comparison (Linear/RandomForest/XGBoost) MAE/RMSE/R2 for the existing fuel model. Reference only - not touched by this task.,reference
